Designator,Mid X,Mid Y,Layer,Rotation
BOOT0,29.1636 mm,-30.7340 mm,top,180
C1,45.9320 mm,-35.2120 mm,top,180
C2,12.2034 mm,-2.9972 mm,top,180
C3,12.2034 mm,-5.1816 mm,top,180
C4,35.0840 mm,-12.5336 mm,top,180
C5,35.0788 mm,-17.1778 mm,top,180
C6,19.6792 mm,-20.3200 mm,top,0
C7,27.9634 mm,-25.3257 mm,top,0
C8,12.1882 mm,-9.0932 mm,top,180
D1,41.4440 mm,-27.4320 mm,top,0
D2,41.2360 mm,-21.5900 mm,top,0
D3,20.3648 mm,-22.6020 mm,top,0
D4,28.7064 mm,-27.6860 mm,top,0
ESP_RESET,20.9340 mm,-25.6032 mm,top,180
FID1,5.1120 mm,-38.1820 mm,top,0
FID3,4.7420 mm,0.2180 mm,top,0
H1,43.7896 mm,0.5588 mm,top,0
L1,35.3568 mm,-23.7236 mm,top,90
LED1,35.3440 mm,-29.9720 mm,top,0
LED2,30.4420 mm,-17.6276 mm,top,180
Q1,4.0113 mm,-17.1330 mm,top,90
Q2,7.6833 mm,-14.0104 mm,top,0
Q3,7.6475 mm,-16.8808 mm,top,180
R1,39.2195 mm,-29.9720 mm,top,180
R2,35.5600 mm,-27.4320 mm,top,0
R3,26.8860 mm,-17.6276 mm,top,0
R4,41.4020 mm,-24.9428 mm,top,0
R5,49.9960 mm,-35.2120 mm,top,0
R6,19.6640 mm,-17.9832 mm,top,180
R7,27.8974 mm,-22.9381 mm,top,180
R8,3.9605 mm,-14.0208 mm,top,180
R9,3.9605 mm,-11.2259 mm,top,0
R10,11.5786 mm,-14.6812 mm,top,180
R11,7.6162 mm,-11.1760 mm,top,180
R12,11.5805 mm,-12.5476 mm,top,180
R13,7.4657 mm,-7.4168 mm,top,0
R14,35.1009 mm,-10.4140 mm,top,0
R15,7.5127 mm,-19.8628 mm,top,0
R16,7.4657 mm,-5.1308 mm,top,180
R17,35.1047 mm,-8.1788 mm,top,0
SW3,44.5320 mm,-7.0120 mm,top,0
U1,22.5006 mm,-8.2396 mm,top,0
U2,41.8320 mm,-14.7688 mm,top,180
USB1,47.3770 mm,-27.3320 mm,top,90
