"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C3";"C_0805_2012Metric";1;"0.1u";;;
2;"R14,R16,R6,R17,R12,R7,R13";"R_0805_2012Metric";7;"10k";;;
3;"C7,C1,C8,C6";"C_0805_2012Metric";4;"1u";;;
4;"D4,D2,D3";"SOD-123_L2.8-W1.8-LS3.7-RD";3;"STPS140Z";;;
5;"LED2,LED1";"[LED]Lite-On LTST-C190KRKT";2;"LTST-C190KRKT";;;
6;"TP8";"TestPoint_Pad_D1.0mm";1;"V_SENSE";;;
7;"R8";"R_0805_2012Metric";1;"100k";;;
8;"D1";"SOT-666-6_L1.6-W1.2-P0.50-LS1.6-BR";1;"USBLC6-2P6";;;
9;"C2";"C_0805_2012Metric";1;"10u";;;
10;"TP2";"TestPoint_Pad_D1.0mm";1;"3.3V";;;
11;"Q3,Q1";"[PMOS]Jiangsu Changjing Electronics Technology Co., Ltd. CJ2301 S1";2;"CJ2301 S1";;;
12;"TP5";"TestPoint_Pad_D1.0mm";1;"GND";;;
13;"FID1,FID3";"Fiducial_0.5mm_Mask1mm";2;"Fiducial";;;
14;"R9,R11";"R_0805_2012Metric";2;"15k 1%";;;
15;"U1";"ESP32-S3-MINI-1";1;"ESP32-S3-MINI-1";;;
16;"ESP_RESET,BOOT0";"[TACTILE_SWITCH]XUNPU TS-1088-AR02016";2;"TS-1088-AR02016";;;
17;"R5";"R_0805_2012Metric";1;"1M";;;
18;"R3,R1";"R_0805_2012Metric";2;"470R";;;
19;"TP4";"TestPoint_Pad_D1.0mm";1;"BOOT0";;;
20;"BAT";"TestPoint_Pad_2.0x2.0mm";1;"VCC";;;
21;"R10";"R_0805_2012Metric";1;"1k";;;
22;"R4,R2";"R_0805_2012Metric";2;"5.1k";;;
23;"H2,H3,H4";"MountingHole_2.2mm_M2_DIN965_Pad";3;"MountingHole_Pad";;;
24;"USB1";"USB-C-SMD_TYPE-C-6PIN-2MD-073";1;"TYPE-C 16PIN 2MD(073)";;;
25;"TP1";"TestPoint_Pad_D1.0mm";1;"VBUS";;;
26;"TP3";"TestPoint_Pad_D1.0mm";1;"ESP_RESET";;;
27;"TP7";"TestPoint_Pad_D1.0mm";1;"EN";;;
28;"R15";"R_0805_2012Metric";1;"30k";;;
29;"REED_G1";"TestPoint_Pad_2.0x2.0mm";1;"REED_G";;;
30;"C5,C4";"C_0805_2012Metric";2;"22u";;;
31;"Q2";"[NMOS]Nexperia BSS138PW,115";1;"BSS138PW,115";;;
32;"TP11";"TestPoint_Pad_D1.0mm";1;"REED";;;
33;"TP6";"TestPoint_Pad_D1.0mm";1;"V_INPUT";;;
34;"REED_OUT1";"TestPoint_Pad_2.0x2.0mm";1;"REED_OUT";;;
35;"L1";"FILTER-SMD_4P-L2.0-W1.2-BL_DLW21H";1;"DLW21SN900SQ2L";;;
36;"SW3";"[SLIDE_SWITCH]XKB Connection SS-12D10L5";1;"SS-12D10L5";;;
37;"GND";"TestPoint_Pad_2.0x2.0mm";1;"GND";;;
38;"U2";"[LDO]Diodes Incorporated AP2114HA-3.3TRG1";1;"AP2114HA-3.3TRG1";;;
39;"H1";"[6P_HEADER_STR]XFCN PZ254V-11-06P";1;"PZ254V-11-06P";;;
